,activity_id,assay_chembl_id,assay_description,assay_type,Name,relation,target_chembl_id,target_organism,type,units,IC50,pIC50,Smiles,standard_inchi,standard_inchi_key,organism,pref_name,target_type,uniprot_id,simFragName,simFragSmiles,simFragScore,mcsFragName,mcsFragSmiles,mcsFragRatio
111,2380391,CHEMBL942219,Inhibition of ITK by DELPHIA,B,CHEMBL500517,=,CHEMBL2959,Homo sapiens,IC50,nM,5,8.301029996,CN(C(=O)c1ccccc1)c1ccc2c(c1)[nH]/c(=N\C(=O)c1ccc(/C=C/c3ncc(N)cn3)s1)n2CCC(N)=O,"InChI=1S/C29H26N8O3S/c1-36(28(40)18-5-3-2-4-6-18)20-7-10-23-22(15-20)34-29(37(23)14-13-25(31)38)35-27(39)24-11-8-21(41-24)9-12-26-32-16-19(30)17-33-26/h2-12,15-17H,13-14,30H2,1H3,(H2,31,38)(H,34,35,39)/b12-9+",PGENIWTWTKBDBN-FMIVXFBMSA-N,Homo sapiens,Tyrosine-protein kinase ITK/TSK,SINGLE PROTEIN,Q08881,Mpro-x0434,O=C(Nc1ccccc1)Nc1cccnc1,0.304878049,Mpro-x0995,Nc1cncnc1,1
736,17602625,CHEMBL3705240,"Scintillation Proximity Assay (SPA): The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ul contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat # SE-534) with or without a specific test compound. A range of concentrations of the potential inhibitor was used to generate data for calculating the concentration of inhibitor resulting in 50% of the effect (e.g. IC50, the concentration of the competitor inhibiting PDE10A activity by 50%). Non-specific activity was tested without the enzyme. The reaction was initiated by the addition of the substrate solution (cGMP and [3H]-cGMP) and allowed to progress for 20 minutes at room temperature. The reaction was terminated by adding 25 uA of YSi-SPA scintillation beads (GE Healthcare, cat. # RPNQ0150) in 18 mM zinc sulphate solution (stop reagent). After 1 h under shaking, the plate was centrifuged one minute at 170 g to allow beads to settle. Afterwards, radioactive counts were measured on a Perkin Elmer TopCount Scintillation plate reader.",B,CHEMBL3957823,=,CHEMBL4409,Homo sapiens,IC50,nM,4,8.397940009,Cc1cnc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2CCO)n1,"InChI=1S/C20H19N9O2/c1-13-9-24-19(26-14-10-21-12-22-11-14)18(25-13)20(31)27-17-8-16(28-29(17)6-7-30)15-4-2-3-5-23-15/h2-5,8-12,30H,6-7H2,1H3,(H,24,26)(H,27,31)",NJLNBCAIPQAXBE-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0434,O=C(Nc1ccccc1)Nc1cccnc1,0.394160584,Mpro-x0995,Nc1cncnc1,1
2006,17632098,CHEMBL3705217,"Scintillation Proximity Assay : PDE10 activity of the compounds of the present invention was determined using a Scintillation Proximity Assay (SPA)-based method similar to the one previously described (Fawcett, L. et al., Proc Natl Acad Sci USA (2000) 97(7):3702-3707). The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ¿l contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2 Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat #SE-534) with or without a specific test compound.",B,CHEMBL3690069,=,CHEMBL4409,Homo sapiens,IC50,nM,28,7.552841969,CNC(=O)c1c(NC(=O)c2nc(C(C)(C)O)cnc2Nc2cncnc2)cnn1C,"InChI=1S/C18H21N9O3/c1-18(2,30)12-8-22-15(24-10-5-20-9-21-6-10)13(26-12)16(28)25-11-7-23-27(4)14(11)17(29)19-3/h5-9,30H,1-4H3,(H,19,29)(H,22,24)(H,25,28)",OPLXPHTWELKCRO-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0107,CC(=O)Nc1cnccc1C,0.283185841,Mpro-x0995,Nc1cncnc1,1
2007,17632097,CHEMBL3705217,"Scintillation Proximity Assay : PDE10 activity of the compounds of the present invention was determined using a Scintillation Proximity Assay (SPA)-based method similar to the one previously described (Fawcett, L. et al., Proc Natl Acad Sci USA (2000) 97(7):3702-3707). The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ¿l contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2 Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat #SE-534) with or without a specific test compound.",B,CHEMBL3690068,=,CHEMBL4409,Homo sapiens,IC50,nM,250.4,6.601365675,CNC(=O)c1c(NC(=O)c2nc(C(C)(C)O)ncc2Nc2cncnc2)cnn1C,"InChI=1S/C18H21N9O3/c1-18(2,30)17-22-7-11(24-10-5-20-9-21-6-10)13(26-17)15(28)25-12-8-23-27(4)14(12)16(29)19-3/h5-9,24,30H,1-4H3,(H,19,29)(H,25,28)",IWKBNAOSOZCEEX-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0107,CC(=O)Nc1cnccc1C,0.283185841,Mpro-x0995,Nc1cncnc1,1
2008,17632096,CHEMBL3705217,"Scintillation Proximity Assay : PDE10 activity of the compounds of the present invention was determined using a Scintillation Proximity Assay (SPA)-based method similar to the one previously described (Fawcett, L. et al., Proc Natl Acad Sci USA (2000) 97(7):3702-3707). The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ¿l contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2 Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat #SE-534) with or without a specific test compound.",B,CHEMBL3690067,=,CHEMBL4409,Homo sapiens,IC50,nM,49.3,7.307153081,CNC(=O)c1c(NC(=O)c2nc(OCC(F)(F)F)cnc2Nc2cncnc2)cnn1C,"InChI=1S/C17H16F3N9O3/c1-21-16(31)13-10(5-25-29(13)2)27-15(30)12-14(26-9-3-22-8-23-4-9)24-6-11(28-12)32-7-17(18,19)20/h3-6,8H,7H2,1-2H3,(H,21,31)(H,24,26)(H,27,30)",WIHKTQSSNSFXBG-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0107,CC(=O)Nc1cnccc1C,0.268907563,Mpro-x0995,Nc1cncnc1,1
2009,17632095,CHEMBL3705217,"Scintillation Proximity Assay : PDE10 activity of the compounds of the present invention was determined using a Scintillation Proximity Assay (SPA)-based method similar to the one previously described (Fawcett, L. et al., Proc Natl Acad Sci USA (2000) 97(7):3702-3707). The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ¿l contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2 Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat #SE-534) with or without a specific test compound.",B,CHEMBL3690066,=,CHEMBL4409,Homo sapiens,IC50,nM,2.1,8.677780705,CNC(=O)c1cc(OCC(C)(C)O)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,"InChI=1S/C24H27N7O4/c1-24(2,34)12-35-16-6-7-18(17(8-16)22(32)25-3)31-23(33)20-21(29-15-9-26-13-27-10-15)28-11-19(30-20)14-4-5-14/h6-11,13-14,34H,4-5,12H2,1-3H3,(H,25,32)(H,28,29)(H,31,33)",BJXDTXDRKYIJRV-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0434,O=C(Nc1ccccc1)Nc1cccnc1,0.303448276,Mpro-x0995,Nc1cncnc1,1
2010,17632094,CHEMBL3705217,"Scintillation Proximity Assay : PDE10 activity of the compounds of the present invention was determined using a Scintillation Proximity Assay (SPA)-based method similar to the one previously described (Fawcett, L. et al., Proc Natl Acad Sci USA (2000) 97(7):3702-3707). The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ¿l contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2 Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat #SE-534) with or without a specific test compound.",B,CHEMBL3690065,=,CHEMBL4409,Homo sapiens,IC50,nM,126.2,6.898940645,CNC(=O)c1c(NC(=O)c2nc(OCC(F)(F)F)ncc2Nc2cncnc2)cnn1C,"InChI=1S/C17H16F3N9O3/c1-21-15(31)13-11(6-25-29(13)2)27-14(30)12-10(26-9-3-22-8-23-4-9)5-24-16(28-12)32-7-17(18,19)20/h3-6,8,26H,7H2,1-2H3,(H,21,31)(H,27,30)",BAPHDIMPQQRWRB-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0107,CC(=O)Nc1cnccc1C,0.268907563,Mpro-x0995,Nc1cncnc1,1
2011,17632093,CHEMBL3705217,"Scintillation Proximity Assay : PDE10 activity of the compounds of the present invention was determined using a Scintillation Proximity Assay (SPA)-based method similar to the one previously described (Fawcett, L. et al., Proc Natl Acad Sci USA (2000) 97(7):3702-3707). The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ¿l contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2 Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat #SE-534) with or without a specific test compound.",B,CHEMBL3690064,=,CHEMBL4409,Homo sapiens,IC50,nM,5.3,8.27572413,Cn1ncc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1C(=O)NC1CCCC1O,"InChI=1S/C22H25N9O3/c1-31-19(22(34)29-14-3-2-4-17(14)32)16(10-26-31)30-21(33)18-20(27-13-7-23-11-24-8-13)25-9-15(28-18)12-5-6-12/h7-12,14,17,32H,2-6H2,1H3,(H,25,27)(H,29,34)(H,30,33)",WWAJEEJGLXUWLL-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0678,O=C(CC1CCCCC1)Nc1cccnc1,0.333333333,Mpro-x0995,Nc1cncnc1,1
2012,17632092,CHEMBL3705217,"Scintillation Proximity Assay : PDE10 activity of the compounds of the present invention was determined using a Scintillation Proximity Assay (SPA)-based method similar to the one previously described (Fawcett, L. et al., Proc Natl Acad Sci USA (2000) 97(7):3702-3707). The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ¿l contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2 Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat #SE-534) with or without a specific test compound.",B,CHEMBL3690063,=,CHEMBL4409,Homo sapiens,IC50,nM,0.8,9.096910013,Cn1ncc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1C(=O)N1CCCO1,"InChI=1S/C20H21N9O3/c1-28-17(20(31)29-5-2-6-32-29)15(10-24-28)27-19(30)16-18(25-13-7-21-11-22-8-13)23-9-14(26-16)12-3-4-12/h7-12H,2-6H2,1H3,(H,23,25)(H,27,30)",QTTKVJJYXLZWQW-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0678,O=C(CC1CCCCC1)Nc1cccnc1,0.345323741,Mpro-x0995,Nc1cncnc1,1
2013,17632091,CHEMBL3705217,"Scintillation Proximity Assay : PDE10 activity of the compounds of the present invention was determined using a Scintillation Proximity Assay (SPA)-based method similar to the one previously described (Fawcett, L. et al., Proc Natl Acad Sci USA (2000) 97(7):3702-3707). The human PDE10A full length assay was performed in 96-well micro titer plates. The reaction mixture of 50 ¿l contained 20 mM HEPES pH=7.5/10 mM MgCl2/0.05 mg/ml BSA (Sigma cat. # A-7906), 50 nM cGMP (Sigma, cat. # G6129) and 50 nM [3H]-cGMP (GE Healthcare, cat. # TRK392 S.A. 13.2 Ci/mmol), 3.75 ng/well PDE10A enzyme (Enzo Life Science, Lausen, Switzerland cat #SE-534) with or without a specific test compound.",B,CHEMBL3690062,=,CHEMBL4409,Homo sapiens,IC50,nM,2.2,8.657577319,CON(C)C(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)cnn1C,"InChI=1S/C19H21N9O3/c1-27-16(19(30)28(2)31-3)14(9-23-27)26-18(29)15-17(24-12-6-20-10-21-7-12)22-8-13(25-15)11-4-5-11/h6-11H,4-5H2,1-3H3,(H,22,24)(H,26,29)",BLSFJBNWJQFWES-UHFFFAOYSA-N,Homo sapiens,Phosphodiesterase 10A,SINGLE PROTEIN,Q9Y233,Mpro-x0678,O=C(CC1CCCCC1)Nc1cccnc1,0.298507463,Mpro-x0995,Nc1cncnc1,1
