;activity_id;assay_chembl_id;assay_description;assay_type;Name;relation;target_chembl_id;target_organism;type;units;IC50;pIC50;Smiles;standard_inchi;standard_inchi_key;organism;pref_name;target_type;uniprot_id;simFragName;simFragSmiles;simFragScore;mcsFragName;mcsFragSmiles;mcsFragRatio
111;2380391;CHEMBL942219;Inhibition of ITK by DELPHIA;B;CHEMBL500517;=;CHEMBL2959;Homo sapiens;IC50;nM;5.0;8.301029995663981;CN(C(=O)c1ccccc1)c1ccc2c(c1)[nH]/c(=N\C(=O)c1ccc(/C=C/c3ncc(N)cn3)s1)n2CCC(N)=O;InChI=1S/C29H26N8O3S/c1-36(28(40)18-5-3-2-4-6-18)20-7-10-23-22(15-20)34-29(37(23)14-13-25(31)38)35-27(39)24-11-8-21(41-24)9-12-26-32-16-19(30)17-33-26/h2-12,15-17H,13-14,30H2,1H3,(H2,31,38)(H,34,35,39)/b12-9+;PGENIWTWTKBDBN-FMIVXFBMSA-N;Homo sapiens;Tyrosine-protein kinase ITK/TSK;SINGLE PROTEIN;Q08881;Mpro-x0434;O=C(Nc1ccccc1)Nc1cccnc1;0.3048780487804878;Mpro-x0995;Nc1cncnc1;1.0
279;18737819;CHEMBL4261420;Inhibition of recombinant human Itk (352 to 617 residues) using myelin basic protein as substrate after 40 mins in presence of [gamma-33P]-ATP by scintillation counting analysis;B;CHEMBL4281823;=;CHEMBL2959;Homo sapiens;IC50;nM;60.0;7.221848749616356;CCn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(OC(F)(F)F)c2)c2c(N)ncnc21;InChI=1S/C25H22F3N5O2/c1-2-32-13-19(22-23(29)30-14-31-24(22)32)16-6-7-20-17(12-16)8-9-33(20)21(34)11-15-4-3-5-18(10-15)35-25(26,27)28/h3-7,10,12-14H,2,8-9,11H2,1H3,(H2,29,30,31);APPXQUDJLJXULP-UHFFFAOYSA-N;Homo sapiens;Tyrosine-protein kinase ITK/TSK;SINGLE PROTEIN;Q08881;Mpro-x0426;O=C(NCCc1ccncc1)c1ccccc1F;0.31788079470198677;Mpro-x0995;Nc1cncnc1;0.8571428571428571
280;1912786;CHEMBL889748;Inhibition of 9-cis-retinoic acid-induced RXRalpha transactivation;B;CHEMBL427694;=;CHEMBL2061;Homo sapiens;IC50;nM;190.0;6.721246399047171;CCCCNS(=O)(=O)c1ccc2c(c1)N=C(c1ccc(C(=O)O)cc1)c1cc3c(cc1N2C)C(C)(C)CCC3(C)C;InChI=1S/C33H39N3O4S/c1-7-8-17-34-41(39,40)23-13-14-28-27(18-23)35-30(21-9-11-22(12-10-21)31(37)38)24-19-25-26(20-29(24)36(28)6)33(4,5)16-15-32(25,2)3/h9-14,18-20,34H,7-8,15-17H2,1-6H3,(H,37,38);DGXKKIIOHSKWHR-UHFFFAOYSA-N;Homo sapiens;Retinoid X receptor alpha;SINGLE PROTEIN;P19793;Mpro-x0161;COC(=O)c1ccc(S(N)(=O)=O)cc1;0.32;Mpro-x0946;NS(=O)(=O)c1ccc(Br)cc1;0.9090909090909091
286;18675737;CHEMBL4235701;Inhibition of ITK (unknown origin);B;CHEMBL4237800;=;CHEMBL2959;Homo sapiens;IC50;nM;290.0;6.5376020021010435;Cc1c(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)cccc1-n1cnc2ccccc2c1=O;InChI=1S/C31H30N4O3/c1-17-19(8-6-10-26(17)35-16-33-24-9-5-4-7-22(24)30(35)37)20-13-14-23(29(32)36)28-27(20)21-12-11-18(31(2,3)38)15-25(21)34-28/h4-10,13-14,16,18,34,38H,11-12,15H2,1-3H3,(H2,32,36);TXIUPNHPXDVAAM-UHFFFAOYSA-N;Homo sapiens;Tyrosine-protein kinase ITK/TSK;SINGLE PROTEIN;Q08881;Mpro-x0426;O=C(NCCc1ccncc1)c1ccccc1F;0.3018867924528302;Mpro-x0995;Nc1cncnc1;0.8571428571428571
289;18586458;CHEMBL4223545;Inhibition of Plasmodium falciparum plasmepsin-2 using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition measured every 1 min within 8 to 15 mins by FRET assay;B;CHEMBL4229013;=;CHEMBL4414;Plasmodium falciparum;IC50;nM;500.0;6.301029995663981;Nc1nc2cc(-c3ccccc3)cc(-c3cccc(C(=O)O)c3)c2c(=O)n1CC1CCCO1;InChI=1S/C26H23N3O4/c27-26-28-22-14-19(16-6-2-1-3-7-16)13-21(17-8-4-9-18(12-17)25(31)32)23(22)24(30)29(26)15-20-10-5-11-33-20/h1-4,6-9,12-14,20H,5,10-11,15H2,(H2,27,28)(H,31,32);YZGHWKNHLHTVCA-UHFFFAOYSA-N;Plasmodium falciparum;Plasmepsin 2;SINGLE PROTEIN;P46925;Mpro-x0434;O=C(Nc1ccccc1)Nc1cccnc1;0.352112676056338;Mpro-x0995;Nc1cncnc1;0.8571428571428571
290;18586457;CHEMBL4223545;Inhibition of Plasmodium falciparum plasmepsin-2 using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition measured every 1 min within 8 to 15 mins by FRET assay;B;CHEMBL4228456;=;CHEMBL4414;Plasmodium falciparum;IC50;nM;75.0;7.1249387366083;CCCCCc1ccc(-c2ccc3c(=O)n(CC4CCCO4)c(N)nc3c2)cc1;InChI=1S/C24H29N3O2/c1-2-3-4-6-17-8-10-18(11-9-17)19-12-13-21-22(15-19)26-24(25)27(23(21)28)16-20-7-5-14-29-20/h8-13,15,20H,2-7,14,16H2,1H3,(H2,25,26);ZHLPFTVHHADULF-UHFFFAOYSA-N;Plasmodium falciparum;Plasmepsin 2;SINGLE PROTEIN;P46925;Mpro-x0426;O=C(NCCc1ccncc1)c1ccccc1F;0.3088235294117647;Mpro-x0995;Nc1cncnc1;0.8571428571428571
291;18586449;CHEMBL4223545;Inhibition of Plasmodium falciparum plasmepsin-2 using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition measured every 1 min within 8 to 15 mins by FRET assay;B;CHEMBL4228072;=;CHEMBL4414;Plasmodium falciparum;IC50;nM;80.0;7.096910013008057;Nc1nc2cc(-c3ccc(CCCc4ccccc4)cc3)cc(CCC(=O)O)c2c(=O)n1CC1CCCO1;InChI=1S/C31H33N3O4/c32-31-33-27-19-25(23-13-11-22(12-14-23)9-4-8-21-6-2-1-3-7-21)18-24(15-16-28(35)36)29(27)30(37)34(31)20-26-10-5-17-38-26/h1-3,6-7,11-14,18-19,26H,4-5,8-10,15-17,20H2,(H2,32,33)(H,35,36);MYJBZTCPVQPNGD-UHFFFAOYSA-N;Plasmodium falciparum;Plasmepsin 2;SINGLE PROTEIN;P46925;Mpro-x0426;O=C(NCCc1ccncc1)c1ccccc1F;0.345679012345679;Mpro-x0995;Nc1cncnc1;0.8571428571428571
292;18586461;CHEMBL4223545;Inhibition of Plasmodium falciparum plasmepsin-2 using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition measured every 1 min within 8 to 15 mins by FRET assay;B;CHEMBL4227924;=;CHEMBL4414;Plasmodium falciparum;IC50;nM;480.0;6.3187587626244115;Nc1nc2cc(-c3ccccc3)cc(-c3cccnc3)c2c(=O)n1CC1CCCO1;InChI=1S/C24H22N4O2/c25-24-27-21-13-18(16-6-2-1-3-7-16)12-20(17-8-4-10-26-14-17)22(21)23(29)28(24)15-19-9-5-11-30-19/h1-4,6-8,10,12-14,19H,5,9,11,15H2,(H2,25,27);MNHMGDDCCBUFLC-UHFFFAOYSA-N;Plasmodium falciparum;Plasmepsin 2;SINGLE PROTEIN;P46925;Mpro-x0434;O=C(Nc1ccccc1)Nc1cccnc1;0.42962962962962964;Mpro-x0995;Nc1cncnc1;0.8571428571428571
293;18586450;CHEMBL4223545;Inhibition of Plasmodium falciparum plasmepsin-2 using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition measured every 1 min within 8 to 15 mins by FRET assay;B;CHEMBL4227074;=;CHEMBL4414;Plasmodium falciparum;IC50;nM;23.0;7.638272163982407;CCCCCc1ccc(-c2cc(-c3ccc(C(=O)O)cc3)c3c(=O)n(CC4CCCO4)c(N)nc3c2)cc1;InChI=1S/C31H33N3O4/c1-2-3-4-6-20-8-10-21(11-9-20)24-17-26(22-12-14-23(15-13-22)30(36)37)28-27(18-24)33-31(32)34(29(28)35)19-25-7-5-16-38-25/h8-15,17-18,25H,2-7,16,19H2,1H3,(H2,32,33)(H,36,37);NVOLQOLIKBYGFU-UHFFFAOYSA-N;Plasmodium falciparum;Plasmepsin 2;SINGLE PROTEIN;P46925;Mpro-x0426;O=C(NCCc1ccncc1)c1ccccc1F;0.2981366459627329;Mpro-x0995;Nc1cncnc1;0.8571428571428571
294;18586465;CHEMBL4223545;Inhibition of Plasmodium falciparum plasmepsin-2 using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition measured every 1 min within 8 to 15 mins by FRET assay;B;CHEMBL4226891;=;CHEMBL4414;Plasmodium falciparum;IC50;nM;280.0;6.552841968657781;Nc1nc2cc(-c3ccccc3)cc(-c3ccc(C(=O)O)cc3)c2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1;InChI=1S/C32H27N3O4/c33-32-34-27-18-24(20-7-3-1-4-8-20)17-26(21-11-13-23(14-12-21)31(37)38)29(27)30(36)35(32)19-25-15-16-28(39-25)22-9-5-2-6-10-22/h1-14,17-18,25,28H,15-16,19H2,(H2,33,34)(H,37,38)/t25-,28+/m0/s1;IBSOPQYKTQLOPF-LBNVMWSVSA-N;Plasmodium falciparum;Plasmepsin 2;SINGLE PROTEIN;P46925;Mpro-x0434;O=C(Nc1ccccc1)Nc1cccnc1;0.3125;Mpro-x0995;Nc1cncnc1;0.8571428571428571
